,Unnamed: 0,period_begin,period_end,table_id,region,state_code,property_type,property_type_id,median_sale_price,median_sale_price_mom,median_sale_price_yoy,median_list_price,median_list_price_mom,median_list_price_yoy,median_ppsf,median_ppsf_mom,median_ppsf_yoy,median_list_ppsf,median_list_ppsf_mom,median_list_ppsf_yoy,homes_sold,homes_sold_mom,homes_sold_yoy,pending_sales,pending_sales_mom,pending_sales_yoy,new_listings,new_listings_mom,new_listings_yoy,inventory,inventory_mom,inventory_yoy,months_of_supply,months_of_supply_mom,months_of_supply_yoy,median_dom,median_dom_mom,median_dom_yoy,avg_sale_to_list,avg_sale_to_list_mom,avg_sale_to_list_yoy,sold_above_list,sold_above_list_mom,sold_above_list_yoy,price_drops,price_drops_mom,price_drops_yoy,off_market_in_two_weeks,off_market_in_two_weeks_mom,off_market_in_two_weeks_yoy,parent_metro_region,parent_metro_region_metro_code
146435,146435,2012-01-01,2012-01-31,23580,"Gainesville, GA metro area",GA,All Residential,-1,76000.0,-0.3391304347826087,-0.3666666666666667,129900.0,0.0834028356964136,-0.10351966873706,46.72921488264932,-0.1894240747890246,-0.1699922727557694,67.3076923076923,0.0366011122548073,-0.0728674428801091,149.0,-0.1077844311377245,0.4190476190476191,287.0,0.028673835125448,0.2699115044247788,292.0,0.2320675105485232,-0.1657142857142857,1559.0,-0.0412054120541205,-0.2483124397299904,10.5,0.8000000000000007,-9.3,58.0,-31.0,-50.0,0.953066449713094,0.0050121523241384,0.0171136569040457,0.2147651006711409,0.0471004300124583,0.0814317673378076,0.1866581141757536,0.0279865274598865,-0.0129561577625298,0.073170731707317,-0.016435003059708,0.0156486078135117,"Gainesville, GA",23580
146436,146436,2012-02-01,2012-02-29,23580,"Gainesville, GA metro area",GA,All Residential,-1,106000.0,0.394736842105263,-0.0691139018178624,129000.0,-0.0069284064665127,-0.0497237569060773,52.32406602953953,0.1197291921325986,-0.0799685056472633,72.44953186042704,0.0763930447834875,-0.0623131303693456,163.0,0.0939597315436242,0.1985294117647058,294.0,0.024390243902439,0.0352112676056337,335.0,0.1472602739726027,-0.2420814479638009,1505.0,-0.0346375881975625,-0.2860531309297912,9.2,-1.3000000000000007,-6.300000000000001,82.0,24.0,-26.0,0.9523438688479616,-0.0007225808651322,0.0406957552897966,0.1840490797546012,-0.0307160209165397,0.0664020209310718,0.1913621262458471,0.0047040120700934,0.0267511205532475,0.119047619047619,0.0458768873403019,0.0627095908786049,"Gainesville, GA",23580
146437,146437,2012-03-01,2012-03-31,23580,"Gainesville, GA metro area",GA,All Residential,-1,95000.0,-0.1037735849056603,0.0,157497.5,0.2209108527131782,-0.0506479807112718,49.630411826821536,-0.0514802156467979,-0.1287252336553725,75.68239225453422,0.044622239938489,-0.0784878602297321,189.0,0.1595092024539877,0.2684563758389262,327.0,0.1122448979591836,0.0030674846625766,375.0,0.1194029850746267,-0.2203742203742203,1478.0,-0.0179401993355481,-0.3201471941122354,7.8,-1.3999999999999997,-6.8,66.0,-16.0,-38.0,0.9537877496726496,0.0014438808246879,0.0203716607420963,0.2063492063492063,0.0223001265946051,0.0654096090337701,0.1562922868741542,-0.0350698393716929,-0.073238531893095,0.0856269113149847,-0.0334207077326343,0.0120072794131442,"Gainesville, GA",23580
146438,146438,2012-04-01,2012-04-30,23580,"Gainesville, GA metro area",GA,All Residential,-1,116500.0,0.2263157894736842,-0.0201850294365012,157000.0,-0.0031587802981,-0.01875,56.78370177719982,0.1441311826171964,-0.0633616201698997,72.27876211814835,-0.0449725495586714,-0.1016943843054515,201.0,0.0634920634920634,0.2035928143712575,331.0,0.0122324159021407,-0.0349854227405247,341.0,-0.0906666666666666,-0.1453634085213032,1476.0,-0.0013531799729363,-0.3244851258581236,7.3,-0.5,-5.8,88.0,22.0,5.0,0.9641903890054376,0.0104026393327879,0.0157883427945647,0.2189054726368159,0.0125562662876095,0.0632168498823248,0.1720867208672086,0.0157944339930544,-0.0448469175767272,0.0694864048338368,-0.0161405064811478,0.0082619150379184,"Gainesville, GA",23580
146439,146439,2012-05-01,2012-05-31,23580,"Gainesville, GA metro area",GA,All Residential,-1,119000.0,0.0214592274678111,0.1387559808612439,134950.0,-0.1404458598726114,-0.1565625,60.57824520126356,0.0668245166359926,0.0513204664807662,68.70019236053861,-0.0495106674870849,-0.1654232802632367,197.0,-0.0199004975124378,0.0102564102564102,357.0,0.0785498489425981,-0.0245901639344262,353.0,0.035190615835777,-0.043360433604336,1451.0,-0.0169376693766937,-0.3386508659981768,7.4,0.1000000000000005,-3.9,80.0,-8.0,-10.0,0.9650718593025182,0.0008814702970806,0.0290150984498886,0.2182741116751268,-0.000631360961689,0.0849407783417935,0.1757408683666436,0.003654147499435,-0.01796925013837,0.0952380952380952,0.0257516904042583,0.0433255269320843,"Gainesville, GA",23580
146440,146440,2012-06-01,2012-06-30,23580,"Gainesville, GA metro area",GA,All Residential,-1,110000.0,-0.0756302521008402,-0.0434782608695651,152900.0,0.1330122267506483,-0.0976689288875775,58.9184031283388,-0.0273999695337846,0.0026667555449446,78.06490384615384,0.1363127403846153,-0.0469376769702689,203.0,0.0304568527918782,-0.0424528301886792,356.0,-0.0028011204481792,-0.1253071253071252,326.0,-0.0764872521246459,-0.2068126520681264,1442.0,-0.0062026188835285,-0.3308584686774942,7.1,-0.3000000000000007,-3.1,48.0,-32.0,-58.0,0.9762761542030411,0.0112042949005228,0.0539980371029723,0.270935960591133,0.0526618489160061,0.1341435077609443,0.2184466019417475,0.0427057335751038,0.0054535624985921,0.0898876404494382,-0.005350454788657,0.040747591309389,"Gainesville, GA",23580
146441,146441,2012-07-01,2012-07-31,23580,"Gainesville, GA metro area",GA,All Residential,-1,117000.0,0.0636363636363637,0.1829952022972352,147400.0,-0.0359712230215827,-0.0700315457413249,57.928958761121365,-0.01679346884304,0.0476720704506576,75.4038572425723,-0.0340876177702823,-0.094397231874592,207.0,0.0197044334975369,0.1129032258064515,346.0,-0.0280898876404493,0.0,273.0,-0.1625766871165643,-0.1333333333333333,1395.0,-0.0325936199722607,-0.3404255319148936,6.7,-0.3999999999999994,-4.7,63.0,15.0,-27.0,0.9745856206733864,-0.0016905335296546,0.0469189813916232,0.2753623188405797,0.0044263582494467,0.1248246844319775,0.2838709677419354,0.0654243658001879,0.08008846183177,0.0838150289017341,-0.006072611547704,0.0057803468208092,"Gainesville, GA",23580
146442,146442,2012-08-01,2012-08-31,23580,"Gainesville, GA metro area",GA,All Residential,-1,105000.0,-0.1025641025641025,0.05,149950.0,0.0172998643147896,0.0714540907466951,56.92685909807498,-0.017298768776057,0.0139889129722299,73.5135135135135,-0.025069589251616,0.046246810455359,182.0,-0.1207729468599033,-0.0854271356783919,319.0,-0.0780346820809249,-0.1089385474860334,329.0,0.205128205128205,-0.0679886685552407,1400.0,0.0035842293906809,-0.3193971803597471,7.7,1.0,-2.6000000000000005,68.0,5.0,-16.0,0.9766774740875585,0.002091853414172,0.0463748167538234,0.2527472527472527,-0.0226150660933269,0.0818929813904688,0.2321428571428571,-0.0517281105990783,0.0318511702201541,0.1410658307210031,0.057250801819269,0.0628535402182098,"Gainesville, GA",23580
146443,146443,2012-09-01,2012-09-30,23580,"Gainesville, GA metro area",GA,All Residential,-1,100000.0,-0.0476190476190476,0.0680451569492357,139450.0,-0.0700233411137045,0.1155999999999999,58.516740633396736,0.0279284956259868,0.1498276554077904,70.12750455373406,-0.0460596807028823,0.0598301897878841,157.0,-0.1373626373626373,-0.076470588235294,279.0,-0.1253918495297805,-0.1226415094339622,268.0,-0.1854103343465045,-0.0915254237288135,1347.0,-0.0378571428571428,-0.2917981072555204,8.599999999999998,0.8999999999999994,-2.6,55.0,-13.0,-53.0,0.9661317978322768,-0.0105456762552818,0.0251562302406622,0.2802547770700636,0.0275075243228109,0.0390783064818283,0.2279138827023014,-0.0042289744405557,0.0286499499998829,0.078853046594982,-0.062212784126021,-0.0091972678704267,"Gainesville, GA",23580
146444,146444,2012-10-01,2012-10-31,23580,"Gainesville, GA metro area",GA,All Residential,-1,92500.0,-0.0749999999999999,-0.2161016949152542,140950.0,0.0107565435640013,0.0850654349499615,57.86719407632542,-0.0111001834695593,-0.0207090233237237,73.038123230178,0.0415046663212397,0.0532536225467727,195.0,0.2420382165605095,0.3265306122448978,321.0,0.1505376344086022,0.1505376344086022,286.0,0.0671641791044776,-0.0498338870431893,1306.0,-0.0304380103934669,-0.2824175824175824,6.7,-1.9,-5.7,74.0,19.0,-3.0,0.9593291668133548,-0.0068026310189219,0.0137150857991041,0.2051282051282051,-0.0751265719418585,0.0078492935635792,0.2396630934150076,0.0117492107127062,0.0484543022062164,0.0965732087227414,0.0177201621277593,0.0284728502998023,"Gainesville, GA",23580
146445,146445,2012-11-01,2012-11-30,23580,"Gainesville, GA metro area",GA,All Residential,-1,115250.0,0.2459459459459458,0.2884292901062046,139900.0,-0.007449450159631,0.1191999999999999,59.04239939257744,0.0203086625334201,0.1129831609635287,74.12113511224058,0.0148280354719616,0.2145316012545051,176.0,-0.0974358974358974,0.2307692307692308,277.0,-0.1370716510903426,-0.0280701754385964,230.0,-0.1958041958041958,-0.1353383458646616,1270.0,-0.0275650842266462,-0.261198371146015,7.2,0.5,-4.8,53.0,-21.0,-34.0,0.9679840663738216,0.0086548995604667,0.0131105706713813,0.2272727272727272,0.0221445221445221,-0.0104895104895104,0.1992125984251968,-0.0404504949898108,-0.002067215420062,0.0794223826714801,-0.0171508260512612,-0.015314459433783,"Gainesville, GA",23580
